ISSN,ISSN2,title,peerreview
0828-282X,NA,Canadian Journal of Cardiology,Single blind
1499-2671,NA,Canadian Journal of Diabetes,Single blind
8418-2,1715-3360,Canadian Journal of Ophthalmology,Single blind
1877-7821,NA,Cancer Epidemiology,Single blind
2210-7762,NA,Cancer Genetics,Single blind
3043-835,NA,Cancer Letters,Single blind
3057-372,NA,Cancer Treatment Reviews,Single blind
1448-617,NA,Carbohydrate Polymers,Single blind
8621-5,8621-5,Carbohydrate Research,Single blind
2588-9133,NA,Carbon Resources Conversion,Single blind
1889-898X,NA,Cardiocore,Single blind
1054-8807,NA,Cardiovascular Pathology,Single blind
1553-8389,NA,Cardiovascular Revascularization Medicine,Single blind
2214-157X,NA,Case Studies in Thermal Engineering,Single blind
2213-624X,NA,Case Studies on Transport Policy,Single blind
1566-7367,NA,Catalysis Communications,Single blind
9205-861,NA,Catalysis Today,Single blind
1434-160,NA,Cell Calcium,Single blind
2045-9769,2045-9769,Cell Regeneration,Single blind
8874-9,1090-2163,Cellular Immunology,Single blind
8986-568,NA,Cellular Signalling,Single blind
9589-465,NA,Cement and Concrete Composites,Single blind
8884-6,NA,Cement and Concrete Research,Single blind
1303-0701,NA,Central Bank Review,Single blind
2728-842,NA,Ceramics International,Single blind
2405-8300,NA,Chemical Data Collections,Single blind
1385-8947,NA,Chemical Engineering Journal,Single blind
2638-762,2638-762,Chemical Engineering Research and Design,Single blind
9250-9,NA,Chemical Engineering Science,Single blind
2552-701,NA,Chemical Engineering and Processing - Process Intensification,Single blind
9254-1,NA,Chemical Geology,Single blind
9261-4,NA,Chemical Physics Letters,Single blind
9279-7,NA,Chemico-Biological Interactions,Single blind
9308-4,NA,Chemistry and Physics of Lipids,Single blind
1697-439,NA,Chemometrics and Intelligent Laboratory Systems,Single blind
4565-35,NA,Chemosphere,Single blind
1452-134,NA,Child Abuse & Neglect,Single blind
1907-409,NA,Children and Youth Services Review,Single blind
1043-951X,NA,China Economic Review,Single blind
1755-3091,NA,China Journal of Accounting Research,Single blind
2751-062,NA,Chinese Astronomy and Astrophysics,Single blind
1001-8417,NA,Chinese Chemical Letters,Single blind
1674-6384,NA,Chinese Herbal Medicines,Single blind
1000-9361,NA,Chinese Journal of Aeronautics,Single blind
1872-2040,NA,Chinese Journal of Analytical Chemistry,Single blind
1004-9541,NA,Chinese Journal of Chemical Engineering,Single blind
1672-3651,NA,Chinese Journal of Natural Medicines,Single blind
1001-9294,NA,Chinese Medical Sciences Journal,Single blind
2095-882X,NA,Chronic Diseases and Translational Medicine,Single blind
2642-751,NA,Cities,Single blind
2212-0963,NA,Climate Risk Management,Single blind
2405-8807,NA,Climate Services,Single blind
9898-1,NA,Clinica Chimica Acta,Single blind
9912-0,NA,Clinical Biochemistry,Single blind
2680-033,NA,Clinical Biomechanics,Single blind
1526-8209,1938-0666,Clinical Breast Cancer,Single blind
1533-0028,1938-0674,Clinical Colorectal Cancer,Single blind
2213-3984,NA,Clinical Epidemiology and Global Health,Single blind
1558-7673,1938-0682,Clinical Genitourinary Cancer,Single blind
8997-071,NA,Clinical Imaging,Single blind
1521-6616,1521-7035,Clinical Immunology,Single blind
1525-7304,1938-0690,Clinical Lung Cancer,Single blind
2376-9998,NA,Clinical Mass Spectrometry,Single blind
1964-399,NA,Clinical Microbiology Newsletter,Single blind
1198-743X,1469-0691,Clinical Microbiology and Infection,Single blind
3038-467,NA,Clinical Neurology and Neurosurgery,Single blind
1388-2457,NA,Clinical Neurophysiology,Single blind
2467-981X,NA,Clinical Neurophysiology Practice,Single blind
2615-614,NA,Clinical Nutrition,Single blind
2405-4577,NA,Clinical Nutrition ESPEN,Single blind
2352-9393,NA,Clinical Nutrition Experimental,Single blind
2410-2792,2663-466X,Clinical Oncology,Single blind
2212-8166,NA,Clinical Plasma Medicine,Single blind
2727-358,NA,Clinical Psychology Review,Single blind
9926-0,NA,Clinical Radiology,Single blind
1876-1399,NA,Clinical Simulation in Nursing,Single blind
1492-918,NA,Clinical Therapeutics,Single blind
2405-6308,NA,Clinical and Translational Radiation Oncology,Single blind
2588-9141,NA,Clinical eHealth,Single blind
2210-7401,NA,Clinics and Research in Hepatology and Gastroenterology,Single blind
0738-081X,NA,Clinics in Dermatology,Single blind
3783-839,NA,Coastal Engineering,Single blind
1002-77,NA,Cognition,Single blind
8852-014,NA,Cognitive Development,Single blind
1002-85,1095-5623,Cognitive Psychology,Single blind
1389-0417,NA,Cognitive Systems Research,Single blind
1077-7229,NA,Cognitive and Behavioral Practice,Single blind
0165-232X,NA,Cold Regions Science and Technology,Single blind
1021-80,NA,Combustion and Flame,Single blind
1007-5704,NA,Communications in Nonlinear Science and Numerical Simulation,Single blind
0967-067X,NA,Communist and Post-Communist Studies,Single blind
1744-3881,NA,Complementary Therapies in Clinical Practice,Single blind
9652-299,NA,Complementary Therapies in Medicine,Single blind
2638-223,NA,Composite Structures,Single blind
2452-2139,NA,Composites Communications,Single blind
2663-538,NA,Composites Science and Technology,Single blind
0010-440X,NA,Comprehensive Psychiatry,Single blind
1631-0691,NA,Comptes Rendus Biologies,Single blind
1631-0748,NA,Comptes Rendus Chimie,Single blind
1631-0713,NA,Comptes Rendus Geoscience,Single blind
1631-0683,NA,Comptes Rendus Palevol,Single blind
1631-0705,NA,Comptes Rendus Physique,Single blind
2352-2143,NA,Computational Condensed Matter,Single blind
9257-721,NA,Computational Geometry,Single blind
1679-473,NA,Computational Statistics & Data Analysis,Single blind
2468-1113,NA,Computational Toxicology,Single blind
2001-0370,2001-0370,Computational and Structural Biotechnology Journal,Single blind
2210-271X,NA,Computational and Theoretical Chemistry,Single blind
1678-396,NA,Computer Aided Geometric Design,Single blind
1403-664,1403-664,Computer Communications,Single blind
1692-607,NA,Computer Methods and Programs in Biomedicine,Single blind
4578-25,NA,Computer Methods in Applied Mechanics and Engineering,Single blind
1389-1286,NA,Computer Networks,Single blind
1046-55,NA,Computer Physics Communications,Single blind
1574-0137,NA,Computer Science Review,Single blind
9205-489,NA,Computer Standards & Interfaces,Single blind
1077-3142,1090-235X,Computer Vision and Image Understanding,Single blind
1044-85,NA,Computer-Aided Design,Single blind
8956-111,NA,Computerized Medical Imaging and Graphics,Single blind
9813-54,NA,Computers & Chemical Engineering,Single blind
3601-315,NA,Computers & Education,Single blind
4579-06,NA,Computers & Electrical Engineering,Single blind
4579-30,NA,Computers & Fluids,Single blind
9830-04,NA,Computers & Geosciences,Single blind
9784-93,NA,Computers & Graphics,Single blind
3608-352,NA,Computers & Industrial Engineering,Single blind
8981-221,NA,Computers & Mathematics with Applications,Single blind
3050-548,NA,Computers & Operations Research,Single blind
1674-048,NA,Computers & Security,Single blind
4579-49,NA,Computers & Structures,Single blind
8755-4615,NA,Computers and Composition,Single blind
1681-699,NA,Computers and Electronics in Agriculture,Single blind
0266-352X,NA,Computers and Geotechnics,Single blind
1048-25,NA,Computers in Biology and Medicine,Single blind
7475-632,7475-632,Computers in Human Behavior,Single blind
1663-615,NA,Computers in Industry,Single blind
1053-8100,1090-2376,Consciousness and Cognition,Single blind
9500-618,NA,Construction and Building Materials,Single blind
1551-7144,NA,Contemporary Clinical Trials,Single blind
2451-8654,NA,Contemporary Clinical Trials Communications,Single blind
0361-476X,1090-2384,Contemporary Educational Psychology,Single blind
2784-343,NA,Continental Shelf Research,Single blind
1078-24,NA,Contraception,Single blind
9670-661,NA,Control Engineering Practice,Single blind
1085-45,1085-45,Coordination Chemistry Reviews,Single blind
0010-938X,NA,Corrosion Science,Single blind
1956-671,1095-998X,Cretaceous Research,Single blind
7490-704,NA,Critical Care Clinics,Single blind
1045-2354,1095-9955,Critical Perspectives On Accounting,Single blind
1040-8428,NA,Critical Reviews in Oncology/Hematology,Single blind
2612-194,NA,Crop Protection,Single blind
1122-40,1090-2392,Cryobiology,Single blind
1122-75,NA,Cryogenics,Single blind
1567-1739,NA,Current Applied Physics,Single blind
2352-0817,NA,Current Medicine Research and Practice,Single blind
2352-1546,NA,Current Opinion in Behavioral Sciences,Single blind
2468-4511,NA,Current Opinion in Biomedical Engineering,Single blind
9581-669,NA,Current Opinion in Biotechnology,Single blind
9550-674,NA,Current Opinion in Cell Biology,Single blind
1367-5931,1367-5931,Current Opinion in Chemical Biology,Single blind
2211-3398,NA,Current Opinion in Chemical Engineering,Single blind
1359-0294,NA,Current Opinion in Colloid & Interface Science,Single blind
2451-9103,NA,Current Opinion in Electrochemistry,Single blind
2451-9650,NA,Current Opinion in Endocrine and Metabolic Research,Single blind
2468-5844,NA,Current Opinion in Environmental Science & Health,Single blind
1877-3435,NA,Current Opinion in Environmental Sustainability,Single blind
2214-7993,NA,Current Opinion in Food Science,Single blind
0959-437X,NA,Current Opinion in Genetics & Development,Single blind
2452-2236,NA,Current Opinion in Green and Sustainable Chemistry,Single blind
9527-915,NA,Current Opinion in Immunology,Single blind
2214-5745,NA,Current Opinion in Insect Science,Single blind
1369-5274,1369-5274,Current Opinion in Microbiology,Single blind
9594-388,NA,Current Opinion in Neurobiology,Single blind
1471-4892,NA,Current Opinion in Pharmacology,Single blind
2468-8673,NA,Current Opinion in Physiology,Single blind
1369-5266,NA,Current Opinion in Plant Biology,Single blind
2352-250X,NA,Current Opinion in Psychology,Single blind
0959-440X,NA,Current Opinion in Structural Biology,Single blind
2452-3100,NA,Current Opinion in Systems Biology,Single blind
2468-2020,NA,Current Opinion in Toxicology,Single blind
1879-6257,NA,Current Opinion in Virology,Single blind
2214-6628,NA,Current Plant Biology,Single blind
1470-272,NA,Current Problems in Cancer,Single blind
3630-188,NA,Current Problems in Diagnostic Radiology,Single blind
1138-40,NA,Current Problems in Surgery,Single blind
0011-393X,NA,Current Therapeutic Research,Single blind
1877-1297,NA,Currents in Pharmacy Teaching and Learning,Single blind
1043-4666,1096-0023,Cytokine,Single blind
1359-6101,NA,Cytokine & Growth Factor Reviews,Single blind
1465-3249,1477-2566,Cytotherapy,Single blind
1568-7864,NA,DNA Repair,Single blind
0169-023X,NA,Data & Knowledge Engineering,Single blind
2352-3409,NA,Data in Brief,Single blind
1679-236,NA,Decision Support Systems,Single blind
2214-9147,NA,Defence Technology,Single blind
1125-7865,NA,Dendrochronologia,Single blind
1095-641,NA,Dental Materials,Single blind
1027-8117,NA,Dermatologica Sinica,Single blind
1191-64,NA,Desalination,Single blind
0142-694X,NA,Design Studies,Single blind
2352-7285,NA,Development Engineering,Single blind
0145-305X,NA,Developmental & Comparative Immunology,Single blind
1216-06,1095-564X,Developmental Biology,Single blind
1878-9293,NA,Developmental Cognitive Neuroscience,Single blind
2732-297,1090-2406,Developmental Review,Single blind
1262-3636,NA,Diabetes & Metabolism,Single blind
1688-227,NA,Diabetes Research and Clinical Practice,Single blind
7328-893,NA,Diagnostic Microbiology and Infectious Disease,Single blind
2211-5684,NA,Diagnostic and Interventional Imaging,Single blind
9259-635,NA,Diamond and Related Materials,Single blind
9262-245,NA,Differential Geometry and its Applications,Single blind
3014-681,1432-0436,Differentiation,Single blind
2212-0548,NA,Digital Applications in Archaeology and Cultural Heritage,Single blind
2589-3777,NA,Digital Chinese Medicine,Single blind
2352-8648,NA,Digital Communications and Networks,Single blind
1742-2876,NA,Digital Investigation,Single blind
1051-2004,1095-4333,Digital Signal Processing,Single blind
1936-6574,NA,Disability and Health Journal,Single blind
0166-218X,NA,Discrete Applied Mathematics,Single blind
0012-365X,NA,Discrete Mathematics,Single blind
1572-5286,NA,Discrete Optimization,Single blind
1150-29,NA,Disease-A-Month,Single blind
1419-382,NA,Displays,Single blind
7397-240,NA,Domestic Animal Endocrinology,Single blind
1347-4367,1880-0920,Drug Metabolism and Pharmacokinetics,Single blind
3768-716,NA,Drug and Alcohol Dependence,Single blind
1437-208,NA,Dyes and Pigments,Single blind
3770-265,NA,Dynamics of Atmospheres and Oceans,Single blind
2405-6553,NA,EJVES Short Reports,Single blind
2087-894X,2656-615X,EXPLORE,Single blind
8852-006,NA,Early Childhood Research Quarterly,Single blind
3783-782,NA,Early Human Development,Single blind
2589-8116,NA,Earth System Governance,Single blind
0012-821X,NA,Earth and Planetary Science Letters,Single blind
1282-52,NA,Earth-Science Reviews,Single blind
1471-0153,NA,Eating Behaviors,Single blind
1476-945X,NA,Ecological Complexity,Single blind
9218-009,NA,Ecological Economics,Single blind
9258-574,NA,Ecological Engineering,Single blind
2405-9854,NA,Ecological Genetics and Genomics,Single blind
1470-160X,NA,Ecological Indicators,Single blind
1574-9541,NA,Ecological Informatics,Single blind
3043-800,NA,Ecological Modelling,Single blind
2452-3062,NA,Econometrics and Statistics,Single blind
2509-0038,NA,EconomiA,Single blind
3135-926,NA,Economic Analysis and Policy,Single blind
2649-993,NA,Economic Modelling,Single blind
9393-625,NA,Economic Systems,Single blind
1570-677X,NA,Economics & Human Biology,Single blind
2727-757,NA,Economics of Education Review,Single blind
2212-0122,NA,Economics of Transportation,Single blind
2212-0416,NA,Ecosystem Services,Single blind
1476-513,1090-2414,Ecotoxicology and Environmental Safety,Single blind
1749-7728,1749-7728,Education for Chemical Engineers,Single blind
1747-938X,NA,Educational Research Review,Single blind
1110-8665,NA,Egyptian Informatics Journal,Single blind
1110-1849,1110-1849,Egyptian Journal of Anaesthesia,Single blind
2314-808X,2314-808X,Egyptian Journal of Basic and Applied Sciences,Single blind
1110-8630,NA,Egyptian Journal of Medical Human Genetics,Single blind
1110-0621,NA,Egyptian Journal of Petroleum,Single blind
1110-6638,NA,Egyptian Pediatric Association Gazette,Single blind
2613-794,NA,Electoral Studies,Single blind
3787-796,NA,Electric Power Systems Research,Single blind
1388-2481,NA,Electrochemistry Communications,Single blind
1346-86,NA,Electrochimica Acta,Single blind
1567-4223,NA,Electronic Commerce Research and Applications,Single blind
7173-458,7173-458,Electronic Journal of Biotechnology,Single blind
1571-0653,NA,Electronic Notes in Discrete Mathematics,Single blind
2405-6650,NA,Emerging Contaminants,Single blind
1566-0141,NA,Emerging Markets Review,Single blind
1609-327,NA,Endeavour,Single blind
3605-442,3605-442,Energy,Single blind
1968-904,NA,Energy Conversion and Management,Single blind
1409-883,NA,Energy Economics,Single blind
3014-215,NA,Energy Policy,Single blind
2352-4847,NA,Energy Reports,Single blind
2405-8297,NA,Energy Storage Materials,Single blind
2211-467X,NA,Energy Strategy Reviews,Single blind
3787-788,NA,Energy and Buildings,Single blind
9730-826,NA,Energy for Sustainable Development,Single blind
2079-1747,NA,Engineering,Single blind
9557-997,NA,Engineering Analysis with Boundary Elements,Single blind
9521-976,NA,Engineering Applications of Artificial Intelligence,Single blind
1350-6307,1350-6307,Engineering Failure Analysis,Single blind
1379-44,NA,Engineering Fracture Mechanics,Other
1379-52,NA,Engineering Geology,Single blind
1410-296,NA,Engineering Structures,Single blind
8894-906,NA,English for Specific Purposes,Single blind
1875-9521,NA,Entertainment Computing,Single blind
1604-120,NA,Environment International,Single blind
2211-4645,NA,Environmental Development,Single blind
2210-4224,NA,Environmental Innovation and Societal Transitions,Single blind
1364-8152,NA,Environmental Modelling & Software,Single blind
2697-491,NA,Environmental Pollution,Single blind
1393-51,1096-0953,Environmental Research,Single blind
2352-1864,NA,Environmental Technology & Innovation,Single blind
1382-6689,NA,Environmental Toxicology and Pharmacology,Single blind
9884-72,NA,Environmental and Experimental Botany,Single blind
1410-229,NA,Enzyme and Microbial Technology,Single blind
1755-4365,NA,Epidemics,Single blind
1525-5050,1525-5069,Epilepsy & Behavior,Single blind
2213-3232,NA,Epilepsy & Behavior Case Reports,Single blind
9201-211,NA,Epilepsy Research,Single blind
2212-9685,NA,EuPA Open Proteomics,Single blind
1429-21,NA,European Economic Review,Single blind
1161-0301,NA,European Journal of Agronomy,Single blind
9598-049,NA,European Journal of Cancer,Single blind
1719-335,NA,European Journal of Cell Biology,Single blind
1956-698,1095-9971,European Journal of Combinatorics,Single blind
9473-580,NA,European Journal of Control,Single blind
1876-3820,NA,European Journal of Integrative Medicine,Single blind
9536-205,NA,European Journal of Internal Medicine,Single blind
9977-538,NA,European Journal of Mechanics - A/Solids,Single blind
9977-546,NA,European Journal of Mechanics - B/Fluids,Single blind
2235-234,2235-234,European Journal of Medicinal Chemistry,Single blind
1462-3889,NA,European Journal of Oncology Nursing,Single blind
3772-217,NA,European Journal of Operational Research,Single blind
1090-3798,NA,European Journal of Paediatric Neurology,Single blind
9280-987,NA,European Journal of Pharmaceutical Sciences,Single blind
9396-411,NA,European Journal of Pharmaceutics and Biopharmaceutics,Single blind
1429-99,NA,European Journal of Pharmacology,Single blind
1762-680,NA,European Journal of Political Economy,Single blind
9324-739,NA,European Journal of Protistology,Single blind
0720-048X,NA,European Journal of Radiology,Single blind
2352-0477,NA,European Journal of Radiology Open,Single blind
1164-5563,NA,European Journal of Soil Biology,Single blind
7487-983,NA,European Journal of Surgical Oncology,Single blind
2468-7499,NA,European Journal of Trauma & Dissociation,Single blind
1078-5884,NA,European Journal of Vascular and Endovascular Surgery,Single blind
2632-373,NA,European Management Journal,Single blind
1430-57,NA,European Polymer Journal,Single blind
9249-338,NA,European Psychiatry,Single blind
2444-8834,NA,European Research on Management and Business Economics,Single blind
2588-9311,NA,European Urology Oncology,Single blind
1497-189,NA,Evaluation and Program Planning,Single blind
1448-27,1090-2422,Experimental Cell Research,Single blind
1448-35,1096-0007,Experimental Eye Research,Single blind
5315-565,NA,Experimental Gerontology,Single blind
0301-472X,NA,Experimental Hematology,Single blind
1448-94,1090-2449,Experimental Parasitology,Single blind
8941-777,NA,Experimental Thermal and Fluid Science,Single blind
1448-00,1096-0945,Experimental and Molecular Pathology,Single blind
9574-174,NA,Expert Systems with Applications,Single blind
1449-83,1090-2457,Explorations in Economic History,Single blind
7230-869,NA,Expositiones Mathematicae,Single blind
2352-4316,NA,Extreme Mechanics Letters,Single blind
3784-290,NA,Field Crops Research,Single blind
0168-874X,NA,Finite Elements in Analysis and Design,Single blind
1071-5797,1090-2465,Finite Fields and Their Applications,Single blind
3797-112,NA,Fire Safety Journal,Single blind
1657-836,NA,Fisheries Research,Single blind
2115-638,NA,Fisioterapia,Single blind
0367-326X,NA,Fitoterapia,Single blind
2452-2627,NA,FlatChem,Single blind
3672-530,NA,Flora,Single blind
9555-986,NA,Flow Measurement and Instrumentation,Single blind
3783-812,NA,Fluid Phase Equilibria,Single blind
2212-4292,NA,Food Bioscience,Single blind
9567-135,NA,Food Control,Single blind
0268-005X,NA,Food Hydrocolloids,Single blind
7400-020,1095-9998,Food Microbiology,Single blind
2214-2894,NA,Food Packaging and Shelf Life,Single blind
3069-192,NA,Food Policy,Single blind
9503-293,NA,Food Quality and Preference,Single blind
9639-969,NA,Food Research International,Single blind
2213-4530,NA,Food Science and Human Wellness,Single blind
2213-3291,NA,Food Structure,Single blind
2352-2496,NA,Food Webs,Single blind
9603-085,9603-085,Food and Bioproducts Processing,Single blind
2786-915,NA,Food and Chemical Toxicology,Single blind
2405-6766,NA,Food and Waterborne Parasitology,Single blind
1268-7731,1460-9584,Foot and Ankle Surgery,Single blind
2468-1709,NA,Forensic Chemistry,Single blind
3790-738,NA,Forensic Science International,Single blind
1875-1741,NA,Forensic Science International Supplement Series,Single blind
3781-127,NA,Forest Ecology and Management,Single blind
1389-9341,NA,Forest Policy and Economics,Single blind
2542-3649,NA,Frontiers in Laboratory Medicine,Single blind
9130-22,1095-6808,Frontiers in Neuroendocrinology,Single blind
2095-2635,NA,Frontiers of Architectural Research,Single blind
1623-61,NA,Fuel,Single blind
3783-820,NA,Fuel Processing Technology,Single blind
1749-4613,NA,Fungal Biology Reviews,Single blind
1754-5048,NA,Fungal Ecology,Single blind
1087-1845,1096-0937,Fungal Genetics and Biology,Single blind
9203-796,NA,Fusion Engineering and Design,Single blind
2314-7210,NA,Future Business Journal,Single blind
2314-7288,NA,Future Computing and Informatics Journal,Single blind
2314-7180,NA,Future Dental Journal,Single blind
0167-739X,NA,Future Generation Computer Systems,Single blind
2314-7245,NA,Future Journal of Pharmaceutical Sciences,Single blind
1632-87,NA,Futures,Single blind
1650-114,NA,Fuzzy Sets and Systems,Single blind
9666-362,NA,Gait & Posture,Single blind
8998-256,1090-2473,Games and Economic Behavior,Single blind
3781-119,NA,Gene,Single blind
1567-133X,NA,Gene Expression Patterns,Single blind
2452-0144,NA,Gene Reports,Single blind
1638-343,NA,General Hospital Psychiatry,Single blind
1664-80,1095-6840,General and Comparative Endocrinology,Single blind
8887-543,1089-8646,Genomics,Single blind
1670-37,1670-37,Geochimica et Cosmochimica Acta,Single blind
1670-61,NA,Geoderma,Single blind
2352-0094,NA,Geoderma Regional,Single blind
1674-9847,NA,Geodesy and Geodynamics,Single blind
1671-85,NA,Geoforum,Single blind
2352-3808,NA,Geomechanics for Energy and the Environment,Single blind
0169-555X,NA,Geomorphology,Single blind
1674-9871,NA,Geoscience Frontiers,Single blind
3756-505,NA,Geothermics,Single blind
1974-572,NA,Geriatric Nursing,Single blind
2351-9894,NA,Global Ecology and Conservation,Single blind
9593-780,NA,Global Environmental Change,Single blind
1044-0283,NA,Global Finance Journal,Single blind
2211-9124,NA,Global Food Security,Single blind
2211-8160,NA,Global Heart,Single blind
2589-7918,NA,Global Transitions,Single blind
9218-181,NA,Global and Planetary Change,Single blind
1342-937X,NA,Gondwana Research,Single blind
0740-624X,NA,Government Information Quarterly,Single blind
2468-0257,NA,Green Energy & Environment,Single blind
2352-801X,NA,Groundwater for Sustainable Development,Single blind
1096-6374,NA,Growth Hormone & IGF Research,Single blind
9082-58,1095-6859,Gynecologic Oncology,Single blind
2352-5789,NA,Gynecologic Oncology Reports,Single blind
1687-4048,NA,HBRC Journal,Single blind
0018-442X,NA,HOMO,Single blind
1365-182X,1477-2574,HPB,Single blind
1973-975,NA,Habitat International,Single blind
2468-0672,NA,HardwareX,Single blind
1568-9883,NA,Harmful Algae,Single blind
1353-8292,NA,Health & Place,Single blind
1688-510,NA,Health Policy,Single blind
2452-3011,NA,Health Professions Education,Single blind
3785-955,NA,Hearing Research,Single blind
1479-563,NA,Heart & Lung,Single blind
1547-5271,NA,Heart Rhythm,Single blind
2214-0271,NA,HeartRhythm Case Reports,Single blind
1109-9666,NA,Hellenic Journal of Cardiology,Single blind
1658-3876,NA,Hematology/Oncology and Stem Cell Therapy,Single blind
1499-3872,NA,Hepatobiliary & Pancreatic Diseases International,Single blind
1574-1818,NA,High Energy Density Physics,Single blind
3150-860,1090-249X,Historia Mathematica,Single blind
0018-506X,1095-6867,Hormones and Behavior,Single blind
2468-0141,NA,Horticultural Plant Journal,Single blind
1988-859,NA,Human Immunology,Single blind
2452-2317,NA,Human Microbiome Journal,Single blind
1679-457,NA,Human Movement Science,Single blind
4681-77,NA,Human Pathology,Single blind
1053-4822,NA,Human Resource Management Review,Single blind
2589-7578,NA,HydroResearch,Single blind
0304-386X,NA,Hydrometallurgy,Single blind
3861-112,NA,IATSS Research,Single blind
2451-8301,NA,IBRO Reports,Single blind
2405-9595,NA,ICT Express,Single blind
2214-2509,NA,IDCases,Single blind
2468-6018,NA,IFAC Journal of Systems and Control,Single blind
2468-600X,NA,IHJ Cardiovascular Case Reports (CVCR),Single blind
9703-896,NA,IIMB Management Review,Single blind
2352-9067,NA,IJC Heart & Vasculature,Single blind
1959-0318,NA,IRBM,Single blind
9242-716,NA,ISPRS Journal of Photogrammetry and Remote Sensing,Single blind
1910-35,1090-2643,Icarus,Single blind
2628-856,NA,Image and Vision Computing,Single blind
1712-985,NA,Immunobiology,Single blind
1652-478,NA,Immunology Letters,Single blind
1935-77,NA,Indagationes Mathematicae,Single blind
1948-32,NA,Indian Heart Journal,Single blind
9762-884,9762-892,Indian Journal of Medical Specialities,Single blind
1957-07,NA,Indian Journal of Tuberculosis,Single blind
9726-292,NA,Indian Pacing and Electrophysiology Journal,Single blind
9266-690,NA,Industrial Crops and Products,Single blind
1985-01,NA,Industrial Marketing Management,Single blind
1636-383,NA,Infant Behavior and Development,Single blind
2468-0427,NA,Infectious Disease Modelling,Single blind
2352-9148,NA,Informatics in Medicine Unlocked,Single blind
1676-245,NA,Information Economics and Policy,Single blind
1566-2535,NA,Information Fusion,Single blind
3064-573,NA,Information Processing & Management,Single blind
2001-90,NA,Information Processing Letters,Single blind
2214-3173,NA,Information Processing in Agriculture,Single blind
2002-55,NA,Information Sciences,Single blind
3064-379,NA,Information Systems,Single blind
8905-401,1090-2651,Information and Computation,Single blind
1471-7727,NA,Information and Organization,Single blind
9505-849,NA,Information and Software Technology,Single blind
1350-4495,NA,Infrared Physics & Technology,Single blind
1387-7003,NA,Inorganic Chemistry Communications,Single blind
2016-93,2016-93,Inorganica Chimica Acta,Single blind
9651-748,NA,Insect Biochemistry and Molecular Biology,Single blind
1679-260,NA,Integration,Single blind
2213-4220,NA,Integrative Medicine Research,Single blind
1602-896,NA,Intelligence,Single blind
9643-397,NA,Intensive and Critical Care Nursing,Single blind
2214-7519,NA,Interdisciplinary Neurosurgery,Single blind
9669-795,NA,Intermetallics,Single blind
9648-305,NA,International Biodeterioration & Biodegradation,Single blind
1598-4869,NA,International Business Review,Single blind
7351-933,NA,International Communications in Heat and Mass Transfer,Single blind
9586-946,NA,International Dairy Journal,Single blind
2110-7017,NA,International Economics,Single blind
1755-599X,NA,International Emergency Nursing,Single blind
1567-5769,NA,International Immunopharmacology,Single blind
2075-19,NA,International Journal for Parasitology,Single blind
1467-0895,NA,International Journal of Accounting Information Systems,Single blind
1437-496,NA,International Journal of Adhesion and Adhesives,Single blind
2214-1391,NA,International Journal of Africa Nursing Sciences,Single blind
9248-579,NA,International Journal of Antimicrobial Agents,Single blind
3032-434,NA,International Journal of Applied Earth Observation and Geoinformation,Single blind
0888-613X,NA,International Journal of Approximate Reasoning,Single blind
1418-130,NA,International Journal of Biological Macromolecules,Single blind
1675-273,1675-273,International Journal of Cardiology,Single blind
2212-8689,NA,International Journal of Child-Computer Interaction,Single blind
1697-2600,NA,International Journal of Clinical and Health Psychology,Single blind
1665-162,NA,International Journal of Coal Geology,Single blind
7365-748,NA,International Journal of Developmental Neuroscience,Single blind
2212-4209,NA,International Journal of Disaster Risk Reduction,Single blind
9553-959,NA,International Journal of Drug Policy,Single blind
7380-593,NA,International Journal of Educational Development,Single blind
8830-355,NA,International Journal of Educational Research,Single blind
1420-615,NA,International Journal of Electrical Power & Energy Systems,Single blind
2072-25,NA,International Journal of Engineering Science,Single blind
1421-123,NA,International Journal of Fatigue,Single blind
1681-605,NA,International Journal of Food Microbiology,Single blind
1692-070,NA,International Journal of Forecasting,Single blind
1873-9598,NA,International Journal of Gerontology,Single blind
1750-5836,NA,International Journal of Greenhouse Gas Control,Single blind
0142-727X,NA,International Journal of Heat and Fluid Flow,Single blind
1793-10,1793-10,International Journal of Heat and Mass Transfer,Single blind
2784-319,NA,International Journal of Hospitality Management,Single blind
1071-5819,1095-9300,International Journal of Human-Computer Studies,Single blind
1438-4639,NA,International Journal of Hygiene and Environmental Health,Single blind
0734-743X,NA,International Journal of Impact Engineering,Single blind
1698-141,NA,International Journal of Industrial Ergonomics,Single blind
1677-187,NA,International Journal of Industrial Organization,Single blind
1201-9712,NA,International Journal of Infectious Diseases,Single blind
2684-012,NA,International Journal of Information Management,Single blind
2096-2487,NA,International Journal of Innovation Studies,Single blind
1471-767,NA,International Journal of Intercultural Relations,Single blind
1602-527,NA,International Journal of Law and Psychiatry,Single blind
2588-8404,NA,International Journal of Lightweight Materials and Manufacture,Single blind
8906-955,NA,International Journal of Machine Tools and Manufacture,Single blind
2074-03,NA,International Journal of Mechanical Sciences,Single blind
1386-5056,NA,International Journal of Medical Informatics,Single blind
1438-4221,NA,International Journal of Medical Microbiology,Single blind
2095-2686,NA,International Journal of Mining Science and Technology,Single blind
3019-322,NA,International Journal of Multiphase Flow,Single blind
2092-6782,NA,International Journal of Naval Architecture and Ocean Engineering,Single blind
