"","ISSN","ISSN2","title","peerreview"
"X.1857","9280-987",NA,"European Journal of Pharmaceutical Sciences","Single blind"
"X.1858","9396-411",NA,"European Journal of Pharmaceutics and Biopharmaceutics","Single blind"
"X.1859","1429-99",NA,"European Journal of Pharmacology","Single blind"
"X.1860","1762-680",NA,"European Journal of Political Economy","Single blind"
"X.1861","9324-739",NA,"European Journal of Protistology","Single blind"
"X.1862","0720-048X",NA,"European Journal of Radiology","Single blind"
"X.1863","2352-0477",NA,"European Journal of Radiology Open","Single blind"
"X.1864","1164-5563",NA,"European Journal of Soil Biology","Single blind"
"X.1865","7487-983",NA,"European Journal of Surgical Oncology","Single blind"
"X.1866","2468-7499",NA,"European Journal of Trauma & Dissociation","Single blind"
"X.1867","1078-5884",NA,"European Journal of Vascular and Endovascular Surgery","Single blind"
"X.1868","2632-373",NA,"European Management Journal","Single blind"
"X.1869","1430-57",NA,"European Polymer Journal","Single blind"
"X.1870","9249-338",NA,"European Psychiatry","Single blind"
"X.1871","2444-8834",NA,"European Research on Management and Business Economics","Single blind"
"X.1872","2588-9311",NA,"European Urology Oncology","Single blind"
"X.1873","1497-189",NA,"Evaluation and Program Planning","Single blind"
"X.1875","1448-27","1090-2422","Experimental Cell Research","Single blind"
"X.1876","1448-35","1096-0007","Experimental Eye Research","Single blind"
"X.1877","5315-565",NA,"Experimental Gerontology","Single blind"
"X.1878","0301-472X",NA,"Experimental Hematology","Single blind"
"X.1880","1448-94","1090-2449","Experimental Parasitology","Single blind"
"X.1881","8941-777",NA,"Experimental Thermal and Fluid Science","Single blind"
"X.1882","1448-00","1096-0945","Experimental and Molecular Pathology","Single blind"
"X.1883","9574-174",NA,"Expert Systems with Applications","Single blind"
"X.1884","1449-83","1090-2457","Explorations in Economic History","Single blind"
"X.1885","7230-869",NA,"Expositiones Mathematicae","Single blind"
"X.1886","2352-4316",NA,"Extreme Mechanics Letters","Single blind"
"X.1888","3784-290",NA,"Field Crops Research","Single blind"
"X.1890","0168-874X",NA,"Finite Elements in Analysis and Design","Single blind"
"X.1891","1071-5797","1090-2465","Finite Fields and Their Applications","Single blind"
"X.1892","3797-112",NA,"Fire Safety Journal","Single blind"
"X.1894","1657-836",NA,"Fisheries Research","Single blind"
"X.1895","2115-638",NA,"Fisioterapia","Single blind"
"X.1896","0367-326X",NA,"Fitoterapia","Single blind"
"X.1897","2452-2627",NA,"FlatChem","Single blind"
"X.1898","3672-530",NA,"Flora","Single blind"
"X.1899","9555-986",NA,"Flow Measurement and Instrumentation","Single blind"
"X.1900","3783-812",NA,"Fluid Phase Equilibria","Single blind"
"X.1901","2212-4292",NA,"Food Bioscience","Single blind"
"X.1903","9567-135",NA,"Food Control","Single blind"
"X.1904","0268-005X",NA,"Food Hydrocolloids","Single blind"
"X.1905","7400-020","1095-9998","Food Microbiology","Single blind"
"X.1906","2214-2894",NA,"Food Packaging and Shelf Life","Single blind"
"X.1907","3069-192",NA,"Food Policy","Single blind"
"X.1908","9503-293",NA,"Food Quality and Preference","Single blind"
"X.1909","9639-969",NA,"Food Research International","Single blind"
"X.1910","2213-4530",NA,"Food Science and Human Wellness","Single blind"
"X.1911","2213-3291",NA,"Food Structure","Single blind"
"X.1912","2352-2496",NA,"Food Webs","Single blind"
"X.1913","9603-085","9603-085","Food and Bioproducts Processing","Single blind"
"X.1914","2786-915",NA,"Food and Chemical Toxicology","Single blind"
"X.1915","2405-6766",NA,"Food and Waterborne Parasitology","Single blind"
"X.1916","1268-7731","1460-9584","Foot and Ankle Surgery","Single blind"
"X.1917","2468-1709",NA,"Forensic Chemistry","Single blind"
"X.1918","3790-738",NA,"Forensic Science International","Single blind"
"X.1919","1875-1741",NA,"Forensic Science International Supplement Series","Single blind"
"X.1921","3781-127",NA,"Forest Ecology and Management","Single blind"
"X.1922","1389-9341",NA,"Forest Policy and Economics","Single blind"
"X.1924","2542-3649",NA,"Frontiers in Laboratory Medicine","Single blind"
"X.1925","9130-22","1095-6808","Frontiers in Neuroendocrinology","Single blind"
"X.1926","2095-2635",NA,"Frontiers of Architectural Research","Single blind"
"X.1927","1623-61",NA,"Fuel","Single blind"
"X.1928","3783-820",NA,"Fuel Processing Technology","Single blind"
"X.1929","1749-4613",NA,"Fungal Biology Reviews","Single blind"
"X.1930","1754-5048",NA,"Fungal Ecology","Single blind"
"X.1931","1087-1845","1096-0937","Fungal Genetics and Biology","Single blind"
"X.1932","9203-796",NA,"Fusion Engineering and Design","Single blind"
"X.1933","2314-7210",NA,"Future Business Journal","Single blind"
"X.1934","2314-7288",NA,"Future Computing and Informatics Journal","Single blind"
"X.1935","2314-7180",NA,"Future Dental Journal","Single blind"
"X.1936","0167-739X",NA,"Future Generation Computer Systems","Single blind"
"X.1937","2314-7245",NA,"Future Journal of Pharmaceutical Sciences","Single blind"
"X.1938","1632-87",NA,"Futures","Single blind"
"X.1939","1650-114",NA,"Fuzzy Sets and Systems","Single blind"
"X.1940","9666-362",NA,"Gait & Posture","Single blind"
"X.1941","8998-256","1090-2473","Games and Economic Behavior","Single blind"
"X.1943","3781-119",NA,"Gene","Single blind"
"X.1944","1567-133X",NA,"Gene Expression Patterns","Single blind"
"X.1945","2452-0144",NA,"Gene Reports","Single blind"
"X.1946","1638-343",NA,"General Hospital Psychiatry","Single blind"
"X.1947","1664-80","1095-6840","General and Comparative Endocrinology","Single blind"
"X.1949","8887-543","1089-8646","Genomics","Single blind"
"X.1951","1670-37","1670-37","Geochimica et Cosmochimica Acta","Single blind"
"X.1952","1670-61",NA,"Geoderma","Single blind"
"X.1953","2352-0094",NA,"Geoderma Regional","Single blind"
"X.1954","1674-9847",NA,"Geodesy and Geodynamics","Single blind"
"X.1955","1671-85",NA,"Geoforum","Single blind"
"X.1956","2352-3808",NA,"Geomechanics for Energy and the Environment","Single blind"
"X.1957","0169-555X",NA,"Geomorphology","Single blind"
"X.1958","1674-9871",NA,"Geoscience Frontiers","Single blind"
"X.1959","3756-505",NA,"Geothermics","Single blind"
"X.1960","1974-572",NA,"Geriatric Nursing","Single blind"
"X.1961","2351-9894",NA,"Global Ecology and Conservation","Single blind"
"X.1962","9593-780",NA,"Global Environmental Change","Single blind"
"X.1963","1044-0283",NA,"Global Finance Journal","Single blind"
"X.1964","2211-9124",NA,"Global Food Security","Single blind"
"X.1965","2211-8160",NA,"Global Heart","Single blind"
"X.1966","2589-7918",NA,"Global Transitions","Single blind"
"X.1967","9218-181",NA,"Global and Planetary Change","Single blind"
"X.1968","1342-937X",NA,"Gondwana Research","Single blind"
"X.1969","0740-624X",NA,"Government Information Quarterly","Single blind"
"X.1971","2468-0257",NA,"Green Energy & Environment","Single blind"
"X.1972","2352-801X",NA,"Groundwater for Sustainable Development","Single blind"
"X.1973","1096-6374",NA,"Growth Hormone & IGF Research","Single blind"
"X.1974","9082-58","1095-6859","Gynecologic Oncology","Single blind"
"X.1975","2352-5789",NA,"Gynecologic Oncology Reports","Single blind"
"X.1976","1687-4048",NA,"HBRC Journal","Single blind"
"X.1977","0018-442X",NA,"HOMO","Single blind"
"X.1978","1365-182X","1477-2574","HPB","Single blind"
"X.1979","1973-975",NA,"Habitat International","Single blind"
"X.1980","2468-0672",NA,"HardwareX","Single blind"
"X.1981","1568-9883",NA,"Harmful Algae","Single blind"
"X.1982","1353-8292",NA,"Health & Place","Single blind"
"X.1983","1688-510",NA,"Health Policy","Single blind"
"X.1984","2452-3011",NA,"Health Professions Education","Single blind"
"X.1985","3785-955",NA,"Hearing Research","Single blind"
"X.1986","1479-563",NA,"Heart & Lung","Single blind"
"X.1987","1547-5271",NA,"Heart Rhythm","Single blind"
"X.1989","2214-0271",NA,"HeartRhythm Case Reports","Single blind"
"X.1990","1109-9666",NA,"Hellenic Journal of Cardiology","Single blind"
"X.1992","1658-3876",NA,"Hematology/Oncology and Stem Cell Therapy","Single blind"
"X.1993","1499-3872",NA,"Hepatobiliary & Pancreatic Diseases International","Single blind"
"X.1994","1574-1818",NA,"High Energy Density Physics","Single blind"
"X.1996","3150-860","1090-249X","Historia Mathematica","Single blind"
"X.1998","0018-506X","1095-6867","Hormones and Behavior","Single blind"
"X.1999","2468-0141",NA,"Horticultural Plant Journal","Single blind"
"X.2000","1988-859",NA,"Human Immunology","Single blind"
"X.2001","2452-2317",NA,"Human Microbiome Journal","Single blind"
"X.2002","1679-457",NA,"Human Movement Science","Single blind"
"X.2003","4681-77",NA,"Human Pathology","Single blind"
"X.2005","1053-4822",NA,"Human Resource Management Review","Single blind"
"X.2006","2589-7578",NA,"HydroResearch","Single blind"
"X.2007","0304-386X",NA,"Hydrometallurgy","Single blind"
"X.2008","3861-112",NA,"IATSS Research","Single blind"
"X.2009","2451-8301",NA,"IBRO Reports","Single blind"
"X.2010","2405-9595",NA,"ICT Express","Single blind"
"X.2011","2214-2509",NA,"IDCases","Single blind"
"X.2012","2468-6018",NA,"IFAC Journal of Systems and Control","Single blind"
"X.2013","2468-600X",NA,"IHJ Cardiovascular Case Reports (CVCR)","Single blind"
"X.2014","9703-896",NA,"IIMB Management Review","Single blind"
"X.2015","2352-9067",NA,"IJC Heart & Vasculature","Single blind"
"X.2016","1959-0318",NA,"IRBM","Single blind"
"X.2018","9242-716",NA,"ISPRS Journal of Photogrammetry and Remote Sensing","Single blind"
"X.2019","1910-35","1090-2643","Icarus","Single blind"
"X.2020","2628-856",NA,"Image and Vision Computing","Single blind"
"X.2021","1712-985",NA,"Immunobiology","Single blind"
"X.2022","1652-478",NA,"Immunology Letters","Single blind"
"X.2023","1935-77",NA,"Indagationes Mathematicae","Single blind"
"X.2024","1948-32",NA,"Indian Heart Journal","Single blind"
"X.2025","9762-884","9762-892","Indian Journal of Medical Specialities","Single blind"
"X.2026","1957-07",NA,"Indian Journal of Tuberculosis","Single blind"
"X.2027","9726-292",NA,"Indian Pacing and Electrophysiology Journal","Single blind"
"X.2028","9266-690",NA,"Industrial Crops and Products","Single blind"
"X.2029","1985-01",NA,"Industrial Marketing Management","Single blind"
"X.2030","1636-383",NA,"Infant Behavior and Development","Single blind"
"X.2033","2468-0427",NA,"Infectious Disease Modelling","Single blind"
"X.2034","2352-9148",NA,"Informatics in Medicine Unlocked","Single blind"
"X.2035","1676-245",NA,"Information Economics and Policy","Single blind"
"X.2036","1566-2535",NA,"Information Fusion","Single blind"
"X.2037","3064-573",NA,"Information Processing & Management","Single blind"
"X.2038","2001-90",NA,"Information Processing Letters","Single blind"
"X.2039","2214-3173",NA,"Information Processing in Agriculture","Single blind"
"X.2040","2002-55",NA,"Information Sciences","Single blind"
"X.2041","3064-379",NA,"Information Systems","Single blind"
"X.2042","8905-401","1090-2651","Information and Computation","Single blind"
"X.2044","1471-7727",NA,"Information and Organization","Single blind"
"X.2045","9505-849",NA,"Information and Software Technology","Single blind"
"X.2046","1350-4495",NA,"Infrared Physics & Technology","Single blind"
"X.2048","1387-7003",NA,"Inorganic Chemistry Communications","Single blind"
"X.2049","2016-93","2016-93","Inorganica Chimica Acta","Single blind"
"X.2050","9651-748",NA,"Insect Biochemistry and Molecular Biology","Single blind"
"X.2052","1679-260",NA,"Integration","Single blind"
"X.2053","2213-4220",NA,"Integrative Medicine Research","Single blind"
"X.2054","1602-896",NA,"Intelligence","Single blind"
"X.2055","9643-397",NA,"Intensive and Critical Care Nursing","Single blind"
"X.2056","2214-7519",NA,"Interdisciplinary Neurosurgery","Single blind"
"X.2057","9669-795",NA,"Intermetallics","Single blind"
"X.2058","9648-305",NA,"International Biodeterioration & Biodegradation","Single blind"
"X.2059","1598-4869",NA,"International Business Review","Single blind"
"X.2060","7351-933",NA,"International Communications in Heat and Mass Transfer","Single blind"
"X.2061","9586-946",NA,"International Dairy Journal","Single blind"
"X.2062","2110-7017",NA,"International Economics","Single blind"
"X.2063","1755-599X",NA,"International Emergency Nursing","Single blind"
"X.2064","1567-5769",NA,"International Immunopharmacology","Single blind"
"X.2065","2075-19",NA,"International Journal for Parasitology","Single blind"
"X.2068","1467-0895",NA,"International Journal of Accounting Information Systems","Single blind"
"X.2069","1437-496",NA,"International Journal of Adhesion and Adhesives","Single blind"
"X.2070","2214-1391",NA,"International Journal of Africa Nursing Sciences","Single blind"
"X.2071","9248-579",NA,"International Journal of Antimicrobial Agents","Single blind"
"X.2072","3032-434",NA,"International Journal of Applied Earth Observation and Geoinformation","Single blind"
"X.2073","0888-613X",NA,"International Journal of Approximate Reasoning","Single blind"
"X.2074","1418-130",NA,"International Journal of Biological Macromolecules","Single blind"
"X.2075","1675-273","1675-273","International Journal of Cardiology","Single blind"
"X.2076","2212-8689",NA,"International Journal of Child-Computer Interaction","Single blind"
"X.2077","1697-2600",NA,"International Journal of Clinical and Health Psychology","Single blind"
"X.2078","1665-162",NA,"International Journal of Coal Geology","Single blind"
"X.2079","7365-748",NA,"International Journal of Developmental Neuroscience","Single blind"
"X.2080","2212-4209",NA,"International Journal of Disaster Risk Reduction","Single blind"
"X.2081","9553-959",NA,"International Journal of Drug Policy","Single blind"
"X.2082","7380-593",NA,"International Journal of Educational Development","Single blind"
"X.2083","8830-355",NA,"International Journal of Educational Research","Single blind"
"X.2084","1420-615",NA,"International Journal of Electrical Power & Energy Systems","Single blind"
"X.2085","2072-25",NA,"International Journal of Engineering Science","Single blind"
"X.2086","1421-123",NA,"International Journal of Fatigue","Single blind"
"X.2087","1681-605",NA,"International Journal of Food Microbiology","Single blind"
"X.2088","1692-070",NA,"International Journal of Forecasting","Single blind"
"X.2090","1873-9598",NA,"International Journal of Gerontology","Single blind"
"X.2091","1750-5836",NA,"International Journal of Greenhouse Gas Control","Single blind"
"X.2092","0142-727X",NA,"International Journal of Heat and Fluid Flow","Single blind"
"X.2093","1793-10","1793-10","International Journal of Heat and Mass Transfer","Single blind"
"X.2094","2784-319",NA,"International Journal of Hospitality Management","Single blind"
"X.2095","1071-5819","1095-9300","International Journal of Human-Computer Studies","Single blind"
"X.2097","1438-4639",NA,"International Journal of Hygiene and Environmental Health","Single blind"
"X.2098","0734-743X",NA,"International Journal of Impact Engineering","Single blind"
"X.2099","1698-141",NA,"International Journal of Industrial Ergonomics","Single blind"
"X.2100","1677-187",NA,"International Journal of Industrial Organization","Single blind"
"X.2101","1201-9712",NA,"International Journal of Infectious Diseases","Single blind"
"X.2102","2684-012",NA,"International Journal of Information Management","Single blind"
"X.2103","2096-2487",NA,"International Journal of Innovation Studies","Single blind"
"X.2104","1471-767",NA,"International Journal of Intercultural Relations","Single blind"
"X.2105","1602-527",NA,"International Journal of Law and Psychiatry","Single blind"
"X.2107","2588-8404",NA,"International Journal of Lightweight Materials and Manufacture","Single blind"
"X.2108","8906-955",NA,"International Journal of Machine Tools and Manufacture","Single blind"
"X.2110","2074-03",NA,"International Journal of Mechanical Sciences","Single blind"
"X.2111","1386-5056",NA,"International Journal of Medical Informatics","Single blind"
"X.2112","1438-4221",NA,"International Journal of Medical Microbiology","Single blind"
"X.2113","2095-2686",NA,"International Journal of Mining Science and Technology","Single blind"
"X.2114","3019-322",NA,"International Journal of Multiphase Flow","Single blind"
"X.2115","2092-6782",NA,"International Journal of Naval Architecture and Ocean Engineering","Single blind"
"X.2116","2074-62",NA,"International Journal of Non-Linear Mechanics","Single blind"
"X.2117","2352-0132",NA,"International Journal of Nursing Sciences","Single blind"
"X.2119","0959-289X",NA,"International Journal of Obstetric Anesthesia","Single blind"
"X.2120","1746-0689",NA,"International Journal of Osteopathic Medicine","Single blind"
"X.2121","1879-9817",NA,"International Journal of Paleopathology","Single blind"
"X.2122","1996-6814",NA,"International Journal of Pavement Research and Technology","Single blind"
"X.2123","1655-876","1655-876","International Journal of Pediatric Otorhinolaryngology","Single blind"
"X.2124","2588-9109",NA,"International Journal of Pediatric Otorhinolaryngology Case Reports","Single blind"
"X.2125","2352-6467",NA,"International Journal of Pediatrics and Adolescent Medicine","Single blind"
"X.2126","3785-173",NA,"International Journal of Pharmaceutics","Single blind"
"X.2127","7496-419",NA,"International Journal of Plasticity","Single blind"
"X.2129","9255-273",NA,"International Journal of Production Economics","Single blind"
"X.2130","2637-863",NA,"International Journal of Project Management","Single blind"
"X.2131","1678-760",NA,"International Journal of Psychophysiology","Single blind"
"X.2133","2634-368",NA,"International Journal of Refractory Metals and Hard Materials","Single blind"
"X.2134","1407-007",NA,"International Journal of Refrigeration","Single blind"
"X.2135","1678-116",NA,"International Journal of Research in Marketing","Single blind"
"X.2136","1365-1609",NA,"International Journal of Rock Mechanics and Mining Sciences","Single blind"
"X.2138","2076-83",NA,"International Journal of Solids and Structures","Single blind"
"X.2139","1743-9191",NA,"International Journal of Surgery","Other"
"X.2140","2210-2612",NA,"International Journal of Surgery Case Reports","Single blind"
"X.2141","2405-8572",NA,"International Journal of Surgery Open","Single blind"
"X.2142","2468-3574",NA,"International Journal of Surgery Protocols","Single blind"
"X.2143","1290-0729",NA,"International Journal of Thermal Sciences","Single blind"
"X.2144","2046-0430",NA,"International Journal of Transportation Science and Technology","Single blind"
"X.2145","2314-4599","2314-4599","International Journal of Veterinary Science and Medicine","Single blind"
"X.2147","2405-5352",NA,"International Journal of e-Navigation and Maritime Economy","Single blind"
"X.2148","1059-0560",NA,"International Review of Economics & Finance","Single blind"
"X.2149","1477-3880",NA,"International Review of Economics Education","Single blind"
"X.2150","1057-5219",NA,"International Review of Financial Analysis","Single blind"
"X.2151","1448-188",NA,"International Review of Law and Economics","Single blind"
"X.2152","2095-6339",NA,"International Soil and Water Conservation Research","Single blind"
"X.2153","2214-7829",NA,"Internet Interventions","Single blind"
"X.2154","2542-6605",NA,"Internet of Things","Single blind"
"X.2156","2352-5126",NA,"JAAD Case Reports","Single blind"
"X.2163","2352-5878",NA,"JPRAS Open","Single blind"
"X.2164","9221-425",NA,"Japan and the World Economy","Single blind"
"X.2165","2175-57","2175-57","Jornal de Pediatria","Single blind"
"X.2169","1617-1381",NA,"Journal for Nature Conservation","Single blind"
"X.2171","7485-751",NA,"Journal of Accounting Education","Single blind"
"X.2172","7374-607",NA,"Journal of Accounting Literature","Single blind"
"X.2173","1654-101",NA,"Journal of Accounting and Economics","Single blind"
"X.2174","2784-254",NA,"Journal of Accounting and Public Policy","Single blind"
"X.2176","1401-971","1095-9254","Journal of Adolescence","Single blind"
"X.2177","1054-139X",NA,"Journal of Adolescent Health","Single blind"
"X.2178","2090-1232",NA,"Journal of Advanced Research","Single blind"
"X.2179","2185-02",NA,"Journal of Aerosol Science","Single blind"
"X.2180","1650-327",NA,"Journal of Affective Disorders","Single blind"
"X.2181","1464-343X",NA,"Journal of African Earth Sciences","Single blind"
"X.2182","2214-8515",NA,"Journal of African Trade","Single blind"
"X.2183","8904-065",NA,"Journal of Aging Studies","Single blind"
"X.2184","9696-997",NA,"Journal of Air Transport Management","Single blind"
"X.2185","2186-93","1090-266X","Journal of Algebra","Single blind"
"X.2186","9167-49",NA,"Journal of Allergy and Clinical Immunology","Single blind"
"X.2187","9258-388",NA,"Journal of Alloys and Compounds","Single blind"
"X.2188","1652-370",NA,"Journal of Analytical and Applied Pyrolysis","Single blind"
"X.2189","2352-4529",NA,"Journal of Anesthesia History","Single blind"
"X.2190","2784-165","1090-2686","Journal of Anthropological Archaeology","Single blind"
"X.2191","8876-185",NA,"Journal of Anxiety Disorders","Single blind"
"X.2192","2085-216",NA,"Journal of Applied Biomedicine","Single blind"
"X.2193","1933-973",NA,"Journal of Applied Developmental Psychology","Single blind"
"X.2194","9269-851",NA,"Journal of Applied Geophysics","Single blind"
"X.2195","2211-3681",NA,"Journal of Applied Research in Memory and Cognition","Single blind"
"X.2196","2214-7861",NA,"Journal of Applied Research on Medicinal and Aromatic Plants","Single blind"
"X.2197","2190-45","1096-0430","Journal of Approximation Theory","Single blind"
"X.2198","3054-403","1095-9238","Journal of Archaeological Science","Single blind"
"X.2202","2214-9635",NA,"Journal of Arthroscopy and Joint Surgery","Single blind"
"X.2203","2287-884X",NA,"Journal of Asia-Pacific Biodiversity","Single blind"
"X.2204","1226-8615",NA,"Journal of Asia-Pacific Entomology","Single blind"
"X.2205","7439-547",NA,"Journal of Asian Earth Sciences","Single blind"
"X.2206","1049-0078",NA,"Journal of Asian Economics","Single blind"
"X.2207","1364-6826",NA,"Journal of Atmospheric and Solar-Terrestrial Physics","Single blind"
"X.2208","8968-411","1095-9157","Journal of Autoimmunity","Single blind"
"X.2209","9759-476",NA,"Journal of Ayurveda and Integrative Medicine","Single blind"
"X.2210","3784-266",NA,"Journal of Banking & Finance","Single blind"
"X.2211","5791-6",NA,"Journal of Behavior Therapy and Experimental Psychiatry","Single blind"
"X.2212","2214-6350",NA,"Journal of Behavioral and Experimental Finance","Single blind"
"X.2213","1532-0464","1532-0480","Journal of Biomedical Informatics","Single blind"
"X.2214","2588-9338",NA,"Journal of Biosafety and Biosecurity","Single blind"
"X.2215","1681-656",NA,"Journal of Biotechnology","Single blind"
"X.2216","1360-8592",NA,"Journal of Bodywork and Movement Therapies","Single blind"
"X.2217","2212-1374",NA,"Journal of Bone Oncology","Single blind"
"X.2218","2352-7102",NA,"Journal of Building Engineering","Single blind"
"X.2219","1482-963",NA,"Journal of Business Research","Single blind"
"X.2220","8839-026",NA,"Journal of Business Venturing","Single blind"
"X.2221","2352-6734",NA,"Journal of Business Venturing Insights","Single blind"
"X.2222","2212-9820",NA,"Journal of CO2 Utilization","Single blind"
"X.2223","2213-5383",NA,"Journal of Cancer Policy","Single blind"
"X.2224","2311-3006",NA,"Journal of Cancer Research and Practice","Single blind"
"X.2225","1071-9164",NA,"Journal of Cardiac Failure","Single blind"
"X.2226","9145-087",NA,"Journal of Cardiology","Single blind"
"X.2227","1878-5409",NA,"Journal of Cardiology Cases","Single blind"
"X.2228","1053-0770",NA,"Journal of Cardiothoracic and Vascular Anesthesia","Single blind"
"X.2229","1934-5925",NA,"Journal of Cardiovascular Computed Tomography","Single blind"
"X.2230","2195-17","1090-2694","Journal of Catalysis","Single blind"
"X.2231","2352-1775",NA,"Journal of Cellular Immunotherapy","Single blind"
"X.2232","7335-210","1095-9963","Journal of Cereal Science","Single blind"
"X.2233","8910-618",NA,"Journal of Chemical Neuroanatomy","Single blind"
"X.2234","1755-5345",NA,"Journal of Choice Modelling","Single blind"
"X.2235","2196-73",NA,"Journal of Chromatography A","Single blind"
"X.2236","1570-0232",NA,"Journal of Chromatography B","Single blind"
"X.2237","9596-526",NA,"Journal of Cleaner Production","Single blind"
"X.2238","9528-180",NA,"Journal of Clinical Anesthesia","Single blind"
"X.2239","8954-356",NA,"Journal of Clinical Epidemiology","Single blind"
"X.2240","1933-2874",NA,"Journal of Clinical Lipidology","Single blind"
"X.2241","9675-868",NA,"Journal of Clinical Neuroscience","Single blind"
"X.2242","9765-662",NA,"Journal of Clinical Orthopaedics and Trauma","Single blind"
"X.2243","2405-5794",NA,"Journal of Clinical Tuberculosis and Other Mycobacterial Diseases","Single blind"
"X.2244","1386-6532",NA,"Journal of Clinical Virology","Single blind"
"X.2245","9736-883",NA,"Journal of Clinical and Experimental Hepatology","Single blind"
"X.2247","2214-6245",NA,"Journal of Clinical and Translational Endocrinology Case Reports","Single blind"
"X.2248","2213-297X",NA,"Journal of Co-operative Organization and Management","Single blind"
"X.2249","2197-97","1095-7103","Journal of Colloid and Interface Science","Single blind"
"X.2250","2237-9363",NA,"Journal of Coloproctology","Single blind"
"X.2253","2405-8513",NA,"Journal of Commodity Markets","Single blind"
"X.2254","2199-24",NA,"Journal of Communication Disorders","Single blind"
"X.2255","2199-75",NA,"Journal of Comparative Pathology","Single blind"
"X.2256","0885-064X","1090-2708","Journal of Complexity","Single blind"
"X.2257","2288-4300",NA,"Journal of Computational Design and Engineering","Single blind"
"X.2258","2199-91","1090-2716","Journal of Computational Physics","Single blind"
"X.2259","3770-427",NA,"Journal of Computational and Applied Mathematics","Single blind"
"X.2260","2200-00","1090-2724","Journal of Computer and System Sciences","Single blind"
"X.2262","1697-722",NA,"Journal of Contaminant Hydrology","Single blind"
"X.2264","2212-1447",NA,"Journal of Contextual Behavioral Science","Single blind"
"X.2265","1683-659",NA,"Journal of Controlled Release","Single blind"
"X.2266","9291-199",NA,"Journal of Corporate Finance","Single blind"
"X.2267","1010-5182",NA,"Journal of Cranio-Maxillofacial Surgery","Single blind"
"X.2268","4723-52",NA,"Journal of Criminal Justice","Single blind"
"X.2269","8839-441",NA,"Journal of Critical Care","Single blind"
"X.2270","2202-48",NA,"Journal of Crystal Growth","Single blind"
"X.2272","2452-2325",NA,"Journal of Current Ophthalmology","Single blind"
"X.2273","1569-1993",NA,"Journal of Cystic Fibrosis","Single blind"
"X.2274","1991-7902",NA,"Journal of Dental Sciences","Single blind"
"X.2275","3005-712",NA,"Journal of Dentistry","Single blind"
"X.2276","9231-811",NA,"Journal of Dermatological Science","Single blind"
"X.2277","2212-571X",NA,"Journal of Destination Marketing & Management","Single blind"
"X.2278","3043-878",NA,"Journal of Development Economics","Single blind"
"X.2279","1056-8727",NA,"Journal of Diabetes and its Complications","Single blind"
"X.2280","2203-96","1090-2732","Journal of Differential Equations","Single blind"
"X.2281","1570-8667",NA,"Journal of Discrete Algorithms","Single blind"
"X.2282","1773-2247",NA,"Journal of Drug Delivery Science and Technology","Single blind"
"X.2283","1672-681","1672-681","Journal of Economic Behavior & Organization","Single blind"
"X.2284","1651-889",NA,"Journal of Economic Dynamics and Control","Single blind"
"X.2285","1674-870",NA,"Journal of Economic Psychology","Single blind"
"X.2286","2205-31","1095-7235","Journal of Economic Theory","Single blind"
"X.2287","1486-195",NA,"Journal of Economics and Business","Single blind"
"X.2288","2314-7172",NA,"Journal of Electrical Systems and Information Technology","Single blind"
"X.2289","1572-6657",NA,"Journal of Electroanalytical Chemistry","Single blind"
"X.2290","2207-36",NA,"Journal of Electrocardiology","Single blind"
"X.2292","3043-886",NA,"Journal of Electrostatics","Single blind"
"X.2293","9917-67",NA,"Journal of Emergency Nursing","Single blind"
"X.2294","9275-398",NA,"Journal of Empirical Finance","Single blind"
"X.2295","9923-99",NA,"Journal of Endodontics","Single blind"
"X.2296","2095-4956",NA,"Journal of Energy Chemistry","Single blind"
"X.2297","2352-152X",NA,"Journal of Energy Storage","Single blind"
"X.2298","9234-748",NA,"Journal of Engineering and Technology Management","Single blind"
"X.2299","1475-1585",NA,"Journal of English for Academic Purposes","Single blind"
"X.2300","2213-3437",NA,"Journal of Environmental Chemical Engineering","Single blind"
"X.2301","3014-797","1095-8630","Journal of Environmental Management","Single blind"
"X.2302","2724-944","1522-9610","Journal of Environmental Psychology","Single blind"
"X.2303","0265-931X",NA,"Journal of Environmental Radioactivity","Single blind"
"X.2304","1001-0742",NA,"Journal of Environmental Sciences","Single blind"
"X.2305","2210-6006","2210-6006","Journal of Epidemiology and Global Health","Single blind"
"X.2306","7370-806",NA,"Journal of Equine Veterinary Science","Single blind"
"X.2307","2352-6181",NA,"Journal of Ethnic Foods","Single blind"
"X.2308","3788-741",NA,"Journal of Ethnopharmacology","Single blind"
"X.2309","2452-4034",NA,"Journal of EuCornea","Single blind"
"X.2310","1879-3665","1879-3673","Journal of Eurasian Studies","Single blind"
"X.2312","1728-869X",NA,"Journal of Exercise Science & Fitness","Single blind"
"X.2313","2209-65","1096-0457","Journal of Experimental Child Psychology","Single blind"
"X.2315","2210-31","1096-0465","Journal of Experimental Social Psychology","Single blind"
"X.2317","0304-405X",NA,"Journal of Financial Economics","Single blind"
"X.2318","1042-9573","1096-0473","Journal of Financial Intermediation","Single blind"
"X.2319","1386-4181",NA,"Journal of Financial Markets","Single blind"
"X.2320","1572-3089",NA,"Journal of Financial Stability","Single blind"
"X.2321","0094-730X",NA,"Journal of Fluency Disorders","Single blind"
"X.2322","8899-746","1095-8622","Journal of Fluids and Structures","Single blind"
"X.2323","2211-39",NA,"Journal of Fluorine Chemistry","Single blind"
