"","journal","ISSN"
"794","JOURNAL_OF_CHILDREN_AND_MEDIA","1748-2798"
"795","JOURNAL_OF_CHINESE_GOVERNANCE","2381-2346"
"796","JOURNAL_OF_CLINICAL_PSYCHOLOGY","0021-9762"
"797","JOURNAL_OF_CROSS-CULTURAL_PSYCHOLOGY","0022-0221"
"798","JOURNAL_OF_ENGLISH_FOR_ACADEMIC_PURPOSES","1475-1585"
"799","JOURNAL_OF_EUROPEAN_SOCIAL_POLICY","0958-9287"
"800","JOURNAL_OF_EXPERIMENTAL_CRIMINOLOGY","1573-3750"
"801","POLICY_AND_SOCIETY","1449-4035"
"802","BMC_MEDICINE","1741-7015"
"803","PHARMACOLOGICAL_RESEARCH","1043-6618"
"804","INFORMATION_TECHNOLOGY_&_TOURISM","1098-3058"
"805","PSYCHOLOGICAL_INQUIRY","1047-840X"
"806","CELL_SYSTEMS","2405-4712"
"807","CLINICAL_CHEMISTRY","0009-9147"
"808","CURRENT_OPINION_IN_GREEN_AND_SUSTAINABLE_CHEMISTRY","2452-2236"
"809","ENDOSCOPY","0013-726X"
"810","IEEE_NETWORK","0890-8044"
"811","JOURNAL_OF_NUCLEAR_MEDICINE","0161-5505"
"812","MATERIALS_TODAY_ENERGY","2468-6069"
"813","TRENDS_IN_CARDIOVASCULAR_MEDICINE","1050-1738"
"814","GIGASCIENCE","2047-217X"
"815","INTERNATIONAL_JOURNAL_OF_BIOLOGICAL_SCIENCES","1449-2288"
"816","TECHNOLOGY_IN_SOCIETY","0160-791X"
"817","WILEY_INTERDISCIPLINARY_REVIEWS-CLIMATE_CHANGE","1757-7780"
"818","CANCER_AND_METASTASIS_REVIEWS","0167-7659"
"819","CURRENT_BIOLOGY","0960-9822"
"820","INTERNATIONAL_JOURNAL_OF_PRODUCTION_RESEARCH","0020-7543"
"821","ACTA_PAULISTA_DE_ENFERMAGEM","0103-2100"
"822","ELECTRONIC_JOURNAL_OF_COMBINATORICS","1077-8926"
"823","ELECTRONIC_JOURNAL_OF_DIFFERENTIAL_EQUATIONS","1072-6691"
"824","ISJ-INVERTEBRATE_SURVIVAL_JOURNAL","1824-307X"
"825","KAFKAS_UNIVERSITESI_VETERINER_FAKULTESI_DERGISI","1300-6045"
"826","PSYCHIATRY_AND_CLINICAL_PSYCHOPHARMACOLOGY","2475-0573"
"827","TROPICAL_GRASSLANDS-FORRAJES_TROPICALES","2346-3775"
"828","TURKISH_JOURNAL_OF_BIOCHEMISTRY-TURK_BIYOKIMYA_DERGISI","0250-4685"
"829","AFRICAN_JOURNAL_OF_INFORMATION_SYSTEMS","1936-0282"
"830","AIMS_ALLERGY_AND_IMMUNOLOGY","2575-615X"
"831","AIMS_MEDICAL_SCIENCE","2375-1576"
"832","ARCHIVE_OF_MECHANICAL_ENGINEERING","0004-0738"
"833","CASE_REPORTS_IN_NEPHROLOGY_AND_DIALYSIS","2296-9705"
"834","CLINICAL_CASE_REPORTS","2050-0904"
"835","CONTRIBUTIONS_TO_GEOPHYSICS_AND_GEODESY","1338-0540"
"836","CURRENT_JOURNAL_OF_NEUROLOGY","2717-011X"
"837","DEPENDENCE_MODELING","2300-2298"
"838","E-BALONMANO_COM","1885-7019"
"839","E-JOURNAL_OF_SURFACE_SCIENCE_AND_NANOTECHNOLOGY","1348-0391"
"840","ELECTRICAL_CONTROL_AND_COMMUNICATION_ENGINEERING","2255-9140"
"841","ASIA_PACIFIC_JOURNAL_OF_EDUCATION","0218-8791"
"842","ATTENTION_PERCEPTION_&_PSYCHOPHYSICS","1943-3921"
"843","BEHAVIORAL_DISORDERS","0198-7429"
"844","BOSTON_UNIVERSITY_LAW_REVIEW","0006-8047"
"845","CHILD_AND_ADOLESCENT_SOCIAL_WORK_JOURNAL","0738-0151"
"846","CHILD_&_FAMILY_SOCIAL_WORK","1356-7500"
"847","CHILDREN_&_SOCIETY","0951-0605"
"848","CIENCIA_&_SAUDE_COLETIVA","1413-8123"
"849","CLINICAL_NURSING_RESEARCH","1054-7738"
"850","COGNITIVE_LINGUISTICS","0936-5907"
"851","COGNITIVE_NEUROPSYCHIATRY","1354-6805"
"852","COGNITIVE_PROCESSING","1612-4782"
"853","COMMUNICATION_CULTURE_&_CRITIQUE","1753-9129"
"854","COMPARATIVE_EUROPEAN_POLITICS","1472-4790"
"855","CRITICAL_INQUIRY","0093-1896"
"856","CULTURE_MEDICINE_AND_PSYCHIATRY","0165-005X"
"857","CURRICULUM_INQUIRY","0362-6784"
"858","DAEDALUS","0011-5266"
"859","DEVELOPMENT_POLICY_REVIEW","0950-6764"
"860","DISCOURSE-STUDIES_IN_THE_CULTURAL_POLITICS_OF_EDUCATION","0159-6306"
"861","JOURNAL_OF_LEARNING_DISABILITIES","0022-2194"
"862","JOURNAL_OF_REGIONAL_SCIENCE","0022-4146"
"863","MASS_COMMUNICATION_AND_SOCIETY","1520-5436"
"864","MEDICAL_CARE","0025-7079"
"865","NURSING_IN_CRITICAL_CARE","1362-1017"
"866","ORGANIZATION","1350-5084"
"867","PSYCHOLOGY_OF_POPULAR_MEDIA","2689-6567"
"868","PSYCHOMETRIKA","0033-3123"
"869","PUBLIC_PERSONNEL_MANAGEMENT","0091-0260"
"870","REGULATION_&_GOVERNANCE","1748-5983"
"871","RELC_JOURNAL","0033-6882"
"872","REVIEW_OF_INTERNATIONAL_STUDIES","0260-2105"
"873","SCHOOL_EFFECTIVENESS_AND_SCHOOL_IMPROVEMENT","0924-3453"
"874","SCHOOL_PSYCHOLOGY","2578-4218"
"875","SOCIAL_STUDIES_OF_SCIENCE","0306-3127"
"876","SOCIOLOGICAL_METHODOLOGY","0081-1750"
"877","SOCIOLOGY_OF_RACE_AND_ETHNICITY","2332-6492"
"878","TOPICS_IN_COGNITIVE_SCIENCE","1756-8757"
"879","ZDM-MATHEMATICS_EDUCATION","1863-9690"
"880","AMERICAN_JOURNAL_OF_BOTANY","0002-9122"
"881","INTERNATIONAL_JOURNAL_OF_ROBOTICS_RESEARCH","0278-3649"
"882","JOURNAL_OF_POWER_SOURCES","0378-7753"
"883","JOURNAL_OF_THE_EUROPEAN_ACADEMY_OF_DERMATOLOGY_AND_VENEREOLOGY","0926-9959"
"884","AMERICAN_SOCIOLOGICAL_REVIEW","0003-1224"
"885","LANDSCAPE_AND_URBAN_PLANNING","0169-2046"
"886","CHINESE_CHEMICAL_LETTERS","1001-8417"
"887","CLINICAL_REVIEWS_IN_ALLERGY_&_IMMUNOLOGY","1080-0549"
"888","EUROPEAN_JOURNAL_OF_NUCLEAR_MEDICINE_AND_MOLECULAR_IMAGING","1619-7070"
"889","JOURNAL_OF_CLINICAL_IMMUNOLOGY","0271-9142"
"890","PERSOONIA","0031-5850"
"891","PROGRESS_IN_CARDIOVASCULAR_DISEASES","0033-0620"
"892","SCIENCE_CHINA-LIFE_SCIENCES","1674-7305"
"893","CELL_DEATH_&_DISEASE","2041-4889"
"894","NPJ_CLIMATE_AND_ATMOSPHERIC_SCIENCE","2397-3722"
"895","CANADIAN_JOURNAL_OF_AGRICULTURAL_ECONOMICS-REVUE_CANADIENNE_D_AGROECONOMIE","0008-3976"
"896","ENERGY_POLICY","0301-4215"
"897","JOURNAL_OF_SUSTAINABLE_TOURISM","0966-9582"
"898","OPERATIONS_MANAGEMENT_RESEARCH","1936-9735"
"899","SCIENCE_COMMUNICATION","1075-5470"
"900","ADVANCED_OPTICAL_MATERIALS","2195-1071"
"901","ESP_TODAY-JOURNAL_OF_ENGLISH_FOR_SPECIFIC_PURPOSES_AT_TERTIARY_LEVEL","2334-9050"
"902","ETHICS_&_BIOETHICS","1338-5615"
"903","ETHNOBIOLOGY_LETTERS","2159-8126"
"904","EUROPEAN_JOURNAL_OF_MENTAL_HEALTH","1788-4934"
"905","GATEWAYS-INTERNATIONAL_JOURNAL_OF_COMMUNITY_RESEARCH_AND_ENGAGEMENT","1836-3393"
"906","GEODYNAMICS_&_TECTONOPHYSICS","2078-502X"
"907","HUMANA_MENTE-JOURNAL_OF_PHILOSOPHICAL_STUDIES","1972-1293"
"908","INTERNATIONAL_JOURNAL_OF_ALCOHOL_AND_DRUG_RESEARCH","1925-7066"
"909","INTERNATIONAL_JOURNAL_OF_COGNITIVE_RESEARCH_IN_SCIENCE_ENGINEERING_AND_EDUCATION-IJCRSEE","2334-847X"
"910","INTERNATIONAL_JOURNAL_OF_EVIDENCE_BASED_COACHING_&_MENTORING","1741-8305"
"911","JOURNAL_OF_BRACHIAL_PLEXUS_AND_PERIPHERAL_NERVE_INJURY","1749-7221"
"912","JOURNAL_OF_CENTRAL_EUROPEAN_AGRICULTURE","1332-9049"
"913","JOURNAL_OF_FELINE_MEDICINE_AND_SURGERY_OPEN_REPORTS","2055-1169"
"914","KOME-AN_INTERNATIONAL_JOURNAL_OF_PURE_COMMUNICATION_INQUIRY","2063-7330"
"915","PHYSIO-GEO","1958-573X"
"916","PRESENT_ENVIRONMENT_AND_SUSTAINABLE_DEVELOPMENT","1843-5971"
"917","REPORTS_ON_GEODESY_AND_GEOINFORMATICS","2391-8365"
"918","REVIEW_OF_ECONOMIC_PERSPECTIVES","1213-2446"
"919","REVISTA_ELECTRONICA_DE_LEEME","1575-9563"
"920","SECULARISM_&_NONRELIGION","2053-6712"
"921","EDUCATIONAL_STUDIES","0305-5698"
"922","ELEMENTARY_SCHOOL_JOURNAL","0013-5984"
"923","ENGINEERING_STUDIES","1937-8629"
"924","EUROPEAN_JOURNAL_ON_CRIMINAL_POLICY_AND_RESEARCH","0928-1371"
"925","FEDERAL_RESERVE_BANK_OF_ST_LOUIS_REVIEW","0014-9187"
"926","FEMINIST_MEDIA_STUDIES","1468-0777"
"927","FIELD_METHODS","1525-822X"
"928","FINANCE_AND_STOCHASTICS","0949-2984"
"929","GLOBAL_ECONOMIC_REVIEW","1226-508X"
"930","HARVARD_EDUCATIONAL_REVIEW","0017-8055"
"931","HEALTH_ECONOMICS_POLICY_AND_LAW","1744-1331"
"932","IDENTITIES-GLOBAL_STUDIES_IN_CULTURE_AND_POWER","1070-289X"
"933","IEEE_TRANSACTIONS_ON_PROFESSIONAL_COMMUNICATION","0361-1434"
"934","IMA_JOURNAL_OF_MANAGEMENT_MATHEMATICS","1471-678X"
"935","INTERNATIONAL_JOURNAL_OF_CLINICAL_AND_EXPERIMENTAL_HYPNOSIS","0020-7144"
"936","INTERNATIONAL_JOURNAL_OF_REHABILITATION_RESEARCH","0342-5282"
"937","INTERNATIONAL_REVIEW_OF_FINANCE","1369-412X"
"938","IRISH_EDUCATIONAL_STUDIES","0332-3315"
"939","ISSUES_IN_SCIENCE_AND_TECHNOLOGY","0748-5492"
"940","JAPAN_JOURNAL_OF_NURSING_SCIENCE","1742-7932"
"941","AMERICAN_JOURNAL_OF_CARDIOVASCULAR_DRUGS","1175-3277"
"942","AMERICAN_JOURNAL_OF_ORTHODONTICS_AND_DENTOFACIAL_ORTHOPEDICS","0889-5406"
"943","AMERICAN_JOURNAL_OF_PHYSICAL_MEDICINE_&_REHABILITATION","0894-9115"
"944","AMERICAN_JOURNAL_OF_SURGERY","0002-9610"
"945","ANNALS_OF_PHYSICS","0003-4916"
"946","APPLIED_BIOCHEMISTRY_AND_BIOTECHNOLOGY","0273-2289"
"947","ARCHIVES_OF_CARDIOVASCULAR_DISEASES","1875-2136"
"948","ARCHIVES_OF_DERMATOLOGICAL_RESEARCH","0340-3696"
"949","ARCHIVES_OF_ORAL_BIOLOGY","0003-9969"
"950","ARCHIVES_OF_OSTEOPOROSIS","1862-3522"
"951","ARCHIVES_OF_PHYSIOLOGY_AND_BIOCHEMISTRY","1381-3455"
"952","BIOCHIMICA_ET_BIOPHYSICA_ACTA-GENERAL_SUBJECTS","0304-4165"
"953","BLOOD_PURIFICATION","0253-5068"
"954","BULLETIN_OF_THE_SEISMOLOGICAL_SOCIETY_OF_AMERICA","0037-1106"
"955","CANCER_CHEMOTHERAPY_AND_PHARMACOLOGY","0344-5704"
"956","CATALYSIS_SURVEYS_FROM_ASIA","1571-1013"
"957","CHEMICAL_BIOLOGY_&_DRUG_DESIGN","1747-0277"
"958","CLINICAL_REHABILITATION","0269-2155"
"959","CNS_&_NEUROLOGICAL_DISORDERS-DRUG_TARGETS","1871-5273"
"960","COMMUNICATIONS_ON_PURE_AND_APPLIED_MATHEMATICS","0010-3640"
"961","BIOFABRICATION","1758-5082"
"962","CRITICAL_REVIEWS_IN_BIOTECHNOLOGY","0738-8551"
"963","IEEE_COMPUTATIONAL_INTELLIGENCE_MAGAZINE","1556-603X"
"964","SEMINARS_IN_IMMUNOPATHOLOGY","1863-2297"
"965","JOURNAL_OF_INDUSTRIAL_INTEGRATION_AND_MANAGEMENT-INNOVATION_AND_ENTREPRENEURSHIP","2424-8622"
"966","CLINICAL_AND_MOLECULAR_HEPATOLOGY","2287-2728"
"967","GEOSCIENCE_FRONTIERS","1674-9871"
"968","JOURNAL_OF_CACHEXIA_SARCOPENIA_AND_MUSCLE","2190-5991"
"969","ACADEMY_OF_MANAGEMENT_PERSPECTIVES","1558-9080"
"970","GLOBAL_ENVIRONMENTAL_CHANGE-HUMAN_AND_POLICY_DIMENSIONS","0959-3780"
"971","JOURNAL_OF_FINANCIAL_ECONOMICS","0304-405X"
"972","JOURNAL_OF_TRAVEL_RESEARCH","0047-2875"
"973","JOURNAL_OF_WORLD_BUSINESS","1090-9516"
"974","ACS_SENSORS","2379-3694"
"975","ANNUAL_REVIEW_OF_NUTRITION","0199-9885"
"976","CURRENT_OPINION_IN_COLLOID_&_INTERFACE_SCIENCE","1359-0294"
"977","ENERGY","0360-5442"
"978","ENVIRONMENTAL_POLLUTION","0269-7491"
"979","GLOBAL_FOOD_SECURITY-AGRICULTURE_POLICY_ECONOMICS_AND_ENVIRONMENT","2211-9124"
"980","IEEE_TRANSACTIONS_ON_KNOWLEDGE_AND_DATA_ENGINEERING","1041-4347"
"981","SPORTIS-SCIENTIFIC_TECHNICAL_JOURNAL_OF_SCHOOL_SPORT_PHYSICAL_EDUCATION_AND_PSYCHOMOTRICITY","2386-8333"
"982","ACROSS_LANGUAGES_AND_CULTURES","1585-1923"
"983","AUSTRALIAN_AND_NEW_ZEALAND_JOURNAL_OF_FAMILY_THERAPY","0814-723X"
"984","AUSTRALIAN_FEMINIST_STUDIES","0816-4649"
"985","CANADIAN_JOURNAL_OF_SOCIOLOGY-CAHIERS_CANADIENS_DE_SOCIOLOGIE","0318-6431"
"986","CHILD_WELFARE","0009-4021"
"987","COMPARATIVE_STUDIES_IN_SOCIETY_AND_HISTORY","0010-4175"
"988","CONVERGENCIA-REVISTA_DE_CIENCIAS_SOCIALES","2448-5799"
"989","DIACHRONICA","0176-4225"
"990","DIAGNOSTICA","0012-1924"
"991","EAST_EUROPEAN_POLITICS_AND_SOCIETIES","0888-3254"
"992","ENGLISH_HISTORICAL_REVIEW","0013-8266"
"993","ENVIRONMENTAL_HISTORY","1084-5453"
"994","EUROPEAN_JOURNAL_OF_THE_HISTORY_OF_ECONOMIC_THOUGHT","0967-2567"
"995","GLQ-A_JOURNAL_OF_LESBIAN_AND_GAY_STUDIES","1064-2684"
"996","HACIENDA_PUBLICA_ESPANOLA-REVIEW_OF_PUBLIC_ECONOMICS","0210-1173"
"997","HISTORY_AND_ANTHROPOLOGY","0275-7206"
"998","HISTORY_OF_POLITICAL_ECONOMY","0018-2702"
"999","IDS_BULLETIN-INSTITUTE_OF_DEVELOPMENT_STUDIES","0265-5012"
"1000","INDIAN_ECONOMIC_AND_SOCIAL_HISTORY_REVIEW","0019-4646"
"1001","JOURNAL_OF_COMMUNICATION_DISORDERS","0021-9924"
"1002","JOURNAL_OF_COMPARATIVE_FAMILY_STUDIES","0047-2328"
"1003","JOURNAL_OF_DRUG_ISSUES","0022-0426"
"1004","JOURNAL_OF_ECONOMICS","0931-8658"
"1005","JOURNAL_OF_EDUCATIONAL_AND_PSYCHOLOGICAL_CONSULTATION","1047-4412"
"1006","JOURNAL_OF_EMERGENCY_NURSING","0099-1767"
"1007","JOURNAL_OF_EMPIRICAL_LEGAL_STUDIES","1740-1453"
"1008","JOURNAL_OF_FAMILY_ISSUES","0192-513X"
"1009","JOURNAL_OF_GENDER_STUDIES","0958-9236"
"1010","JOURNAL_OF_HUMANISTIC_PSYCHOLOGY","0022-1678"
"1011","JOURNAL_OF_INTERNATIONAL_RELATIONS_AND_DEVELOPMENT","1408-6980"
"1012","JOURNAL_OF_LANGUAGE_IDENTITY_AND_EDUCATION","1534-8458"
"1013","JOURNAL_OF_LIBRARIANSHIP_AND_INFORMATION_SCIENCE","0961-0006"
"1014","JOURNAL_OF_MEDIA_PSYCHOLOGY-THEORIES_METHODS_AND_APPLICATIONS","1864-1105"
"1015","JOURNAL_OF_MORAL_EDUCATION","0305-7240"
"1016","JOURNAL_OF_PALLIATIVE_CARE","0825-8597"
"1017","JOURNAL_OF_PERIANESTHESIA_NURSING","1089-9472"
"1018","JOURNAL_OF_POLICY_AND_PRACTICE_IN_INTELLECTUAL_DISABILITIES","1741-1122"
"1019","JOURNAL_OF_PSYCHOEDUCATIONAL_ASSESSMENT","0734-2829"
"1020","JOURNAL_OF_REFUGEE_STUDIES","0951-6328"
"1021","COMPARATIVE_BIOCHEMISTRY_AND_PHYSIOLOGY_D-GENOMICS_&_PROTEOMICS","1744-117X"
"1022","COMPLEMENTARY_THERAPIES_IN_CLINICAL_PRACTICE","1744-3881"
"1023","CRYSTALLOGRAPHY_REVIEWS","0889-311X"
"1024","CURRENT_CANCER_DRUG_TARGETS","1568-0096"
"1025","DEEP-SEA_RESEARCH_PART_II-TOPICAL_STUDIES_IN_OCEANOGRAPHY","0967-0645"
"1026","DENDROCHRONOLOGIA","1125-7865"
"1027","DEVELOPMENTAL_NEUROBIOLOGY","1932-8451"
"1028","ELECTROANALYSIS","1040-0397"
"1029","ENVIRONMENTAL_MONITORING_AND_ASSESSMENT","0167-6369"
"1030","EUROPEAN_JOURNAL_OF_APPLIED_PHYSIOLOGY","1439-6319"
"1031","EXPERIMENTAL_ASTRONOMY","0922-6435"
"1032","FOOD_BIOPHYSICS","1557-1858"
"1033","FOUNDATIONS_OF_COMPUTATIONAL_MATHEMATICS","1615-3375"
"1034","FRACTIONAL_CALCULUS_AND_APPLIED_ANALYSIS","1311-0454"
"1035","FRONTIERS_OF_INFORMATION_TECHNOLOGY_&_ELECTRONIC_ENGINEERING","2095-9184"
"1036","FRONTIERS_OF_STRUCTURAL_AND_CIVIL_ENGINEERING","2095-2430"
"1037","FUNCTIONAL_PLANT_BIOLOGY","1445-4408"
"1038","FUNGAL_GENETICS_AND_BIOLOGY","1087-1845"
"1039","GLYCOCONJUGATE_JOURNAL","0282-0080"
"1040","HEMATOLOGY-AMERICAN_SOCIETY_OF_HEMATOLOGY_EDUCATION_PROGRAM","1520-4391"
"1041","JOURNAL_OF_HEART_AND_LUNG_TRANSPLANTATION","1053-2498"
"1042","MAYO_CLINIC_PROCEEDINGS","0025-6196"
"1043","OBESITY_REVIEWS","1467-7881"
"1044","QUARTERLY_JOURNAL_OF_THE_ROYAL_METEOROLOGICAL_SOCIETY","0035-9009"
"1045","RADIOLOGIA_MEDICA","0033-8362"
"1046","PRAGMATIC_AND_OBSERVATIONAL_RESEARCH","1179-7266"
"1047","INTERNATIONAL_JOURNAL_OF_CLINICAL_AND_HEALTH_PSYCHOLOGY","1697-2600"
"1048","JOURNAL_OF_PHARMACEUTICAL_ANALYSIS","2095-1779"
"1049","CELL_REPORTS","2211-1247"
"1050","MOLECULAR_THERAPY_NUCLEIC_ACIDS","2162-2531"
"1051","NEUROLOGY-NEUROIMMUNOLOGY_&_NEUROINFLAMMATION","2332-7812"
"1052","EDUCATIONAL_PSYCHOLOGIST","0046-1520"
"1053","FAMILY_BUSINESS_REVIEW","0894-4865"
"1054","SUPPLY_CHAIN_MANAGEMENT-AN_INTERNATIONAL_JOURNAL","1359-8546"
"1055","ADVANCED_ENGINEERING_INFORMATICS","1474-0346"
"1056","ANESTHESIOLOGY","0003-3022"
"1057","BMJ_EVIDENCE-BASED_MEDICINE","2515-446X"
"1058","BRITISH_JOURNAL_OF_CANCER","0007-0920"
"1059","CHEMOSPHERE","0045-6535"
"1060","CRITICAL_CARE_MEDICINE","0090-3493"
"1061","INTERNATIONAL_JOURNAL_OF_FEMINIST_APPROACHES_TO_BIOETHICS","1937-4585"
"1062","INTERNATIONAL_REVIEW_OF_THE_RED_CROSS","1816-3831"
"1063","INTERVENTIONS-INTERNATIONAL_JOURNAL_OF_POSTCOLONIAL_STUDIES","1369-801X"
"1064","IRISH_POLITICAL_STUDIES","0790-7184"
"1065","JOURNAL_OF_ANTHROPOLOGICAL_RESEARCH","0091-7710"
"1066","JOURNAL_OF_COGNITIVE_PSYCHOTHERAPY","0889-8391"
"1067","JOURNAL_OF_CONSCIOUSNESS_STUDIES","1355-8250"
"1068","JOURNAL_OF_CONTEMPORARY_HISTORY","0022-0094"
"1069","JOURNAL_OF_DERIVATIVES","1074-1240"
"1070","JOURNAL_OF_EAST_EUROPEAN_MANAGEMENT_STUDIES","0949-6181"
"1071","JOURNAL_OF_ECONOMIC_ISSUES","0021-3624"
"1072","JOURNAL_OF_NEUROSCIENCE_PSYCHOLOGY_AND_ECONOMICS","1937-321X"
"1073","JOURNAL_OF_PIDGIN_AND_CREOLE_LANGUAGES","0920-9034"
"1074","JOURNAL_OF_PSYCHOLOGY_AND_THEOLOGY","0091-6471"
"1075","JOURNAL_OF_RISK","1465-1211"
"1076","JOURNAL_OF_RISK_MODEL_VALIDATION","1753-9579"
"1077","JOURNAL_OF_SOUTH_ASIAN_DEVELOPMENT","0973-1741"
"1078","JOURNAL_OF_THE_ECONOMIC_AND_SOCIAL_HISTORY_OF_THE_ORIENT","0022-4995"
"1079","JOURNAL_OF_THE_PHILOSOPHY_OF_SPORT","0094-8705"
"1080","KNOWLEDGE_ORGANIZATION","0943-7444"
"1081","JOURNAL_OF_SCHOOL_NURSING","1059-8405"
"1082","JOURNAL_OF_SOCIAL_AND_CLINICAL_PSYCHOLOGY","0736-7236"
"1083","JOURNAL_OF_SPORTS_ECONOMICS","1527-0025"
"1084","LITHIC_TECHNOLOGY","0197-7261"
"1085","MEDICAL_LAW_REVIEW","0967-0742"
"1086","MEDITERRANEAN_POLITICS","1362-9395"
"1087","NATIONAL_TAX_JOURNAL","0028-0283"
"1088","PAIN_MANAGEMENT_NURSING","1524-9042"
"1089","PERCEPTION","0301-0066"
"1090","PHILOSOPHY_OF_SCIENCE","0031-8248"
"1091","PSYCHIATRIC_CLINICS_OF_NORTH_AMERICA","0193-953X"
"1092","PSYCHOLOGY_OF_MUSIC","0305-7356"
"1093","QUALITATIVE_SOCIAL_WORK","1473-3250"
"1094","QUARTERLY_JOURNAL_OF_EXPERIMENTAL_PSYCHOLOGY","1747-0218"
"1095","QUARTERLY_JOURNAL_OF_POLITICAL_SCIENCE","1554-0626"
"1096","REVIEW_OF_WORLD_ECONOMICS","1610-2878"
"1097","SOCIAL_EPISTEMOLOGY","0269-1728"
"1098","SOCIAL_WORK_RESEARCH","1070-5309"
"1099","SOCIOLOGY_OF_SPORT_JOURNAL","0741-1235"
"1100","THEORY_CULTURE_&_SOCIETY","0263-2764"
"1101","HIV_MEDICINE","1464-2662"
"1102","IEEE_JOURNAL_OF_PHOTOVOLTAICS","2156-3381"
"1103","INDIAN_JOURNAL_OF_MICROBIOLOGY","0046-8991"
"1104","INTERNATIONAL_ARCHIVES_OF_OCCUPATIONAL_AND_ENVIRONMENTAL_HEALTH","0340-0131"
"1105","INTERNATIONAL_JOURNAL_OF_COMPUTER_ASSISTED_RADIOLOGY_AND_SURGERY","1861-6410"
"1106","INTERNATIONAL_JOURNAL_OF_EXPERIMENTAL_PATHOLOGY","0959-9673"
"1107","INTERNATIONAL_JOURNAL_OF_LABORATORY_HEMATOLOGY","1751-5521"
"1108","INTERNATIONAL_JOURNAL_OF_PRESSURE_VESSELS_AND_PIPING","0308-0161"
"1109","INTERNATIONAL_JOURNAL_OF_PSYCHIATRY_IN_CLINICAL_PRACTICE","1365-1501"
"1110","IRRIGATION_SCIENCE","0342-7188"
"1111","JOURNAL_OF_APPLIED_METEOROLOGY_AND_CLIMATOLOGY","1558-8424"
"1112","JOURNAL_OF_APPLIED_POLYMER_SCIENCE","0021-8995"
"1113","JOURNAL_OF_ARID_LAND","1674-6767"
"1114","JOURNAL_OF_ASIAN_EARTH_SCIENCES","1367-9120"
"1115","JOURNAL_OF_BIOENERGETICS_AND_BIOMEMBRANES","0145-479X"
"1116","JOURNAL_OF_BIOLOGICAL_INORGANIC_CHEMISTRY","0949-8257"
"1117","JOURNAL_OF_CARDIOVASCULAR_MEDICINE","1558-2027"
"1118","JOURNAL_OF_CARDIOVASCULAR_PHARMACOLOGY","0160-2446"
"1119","JOURNAL_OF_CHEMICAL_EDUCATION","0021-9584"
"1120","JOURNAL_OF_CHROMATOGRAPHY_B-ANALYTICAL_TECHNOLOGIES_IN_THE_BIOMEDICAL_AND_LIFE_SCIENCES","1570-0232"
"1121","CURRENT_OBESITY_REPORTS","2162-4968"
"1122","ECOLOGY_LETTERS","1461-023X"
"1123","FOOD_CHEMISTRY","0308-8146"
"1124","GENETICS_IN_MEDICINE","1098-3600"
"1125","IEEE_TRANSACTIONS_ON_SUSTAINABLE_ENERGY","1949-3029"
"1126","JOURNAL_OF_CLINICAL_VIROLOGY","1386-6532"
"1127","KNOWLEDGE-BASED_SYSTEMS","0950-7051"
"1128","RARE_METALS","1001-0521"
"1129","SCIENCE_CHINA-INFORMATION_SCIENCES","1674-733X"
"1130","ASTROPHYSICAL_JOURNAL_SUPPLEMENT_SERIES","0067-0049"
"1131","HORTICULTURE_RESEARCH","2662-6810"
"1132","INTERNATIONAL_BUSINESS_REVIEW","0969-5931"
"1133","JOURNAL_OF_BUSINESS_VENTURING","0883-9026"
"1134","TOURISM_MANAGEMENT_PERSPECTIVES","2211-9736"
"1135","AMERICAN_JOURNAL_OF_TRANSPLANTATION","1600-6135"
"1136","ANNUAL_REVIEW_OF_GENOMICS_AND_HUMAN_GENETICS","1527-8204"
"1137","APPLIED_SOFT_COMPUTING","1568-4946"
"1138","ARTERIOSCLEROSIS_THROMBOSIS_AND_VASCULAR_BIOLOGY","1079-5642"
"1139","COMPOSITES_PART_A-APPLIED_SCIENCE_AND_MANUFACTURING","1359-835X"
"1140","ENGINEERING_WITH_COMPUTERS","0177-0667"
"1141","LABOR_HISTORY","0023-656X"
"1142","LANGUAGE_AND_LITERATURE","0963-9470"
"1143","LATIN_AMERICAN_PERSPECTIVES","0094-582X"
"1144","LAW_PROBABILITY_&_RISK","1470-8396"
"1145","LEGAL_STUDIES","0261-3875"
"1146","MIDDLE_EAST_JOURNAL","0026-3141"
"1147","NARRATIVE_INQUIRY","1387-6740"
"1148","NATURE_+_CULTURE","1558-6073"
"1149","ORTHOPAEDIC_NURSING","0744-6020"
"1150","PRAGUE_ECONOMIC_PAPERS","1210-0455"
"1151","PSYCHOTHERAPIE","2731-7161"
"1152","REVIEW_OF_COGNITIVE_LINGUISTICS","1877-9751"
"1153","REVIEW_OF_ECONOMIC_DESIGN","1434-4742"
"1154","REVIEW_OF_NETWORK_ECONOMICS","2194-5993"
"1155","RHETORIC_SOCIETY_QUARTERLY","0277-3945"
"1156","RURAL_HISTORY-ECONOMY_SOCIETY_CULTURE","0956-7933"
"1157","SOCIAL_HISTORY_OF_MEDICINE","0951-631X"
"1158","STUDIES_IN_PSYCHOLOGY","0210-9395"
"1159","TECHNOLOGY_AND_CULTURE","0040-165X"
"1160","TRANSLATOR","1355-6509"
"1161","TRENDS_IN_ORGANIZED_CRIME","1084-4791"
"1162","WASHINGTON_QUARTERLY","0163-660X"
